id	canonical_name	inputs	outputs	meaning
40	host.read	3	1	read bytes from the selected platform input descriptor
41	host.write	3	1	write bytes to the selected platform output descriptor
42	host.exit	1	0	terminate or halt the selected platform program
45	call_image	1	1	call a generated image address and return its main word
